Id;ID_Insumo;Codigo;Descripcion;RNPA;DiaVencimiento;EtiquetaPieza;CantEtiquetasPorPieza;PiezasPorCaja;EtiquetaCaja;CantEtiquetasPorCaja;CajasPorPallet;EtiquetaPallet;CantEtiquetasPorPallet;CodigoBarraArticulo_GS1;CodigoBarraCaja_GS1;PesoNominal;LargoMax;ConPesoNominal;upsize_ts;ConFechaVencimiento;DiasAlmacenamiento
1;2;20;CREMOSO BARRAZA;NULL;90;False;0;4;False;2;56;False;4;7790309000100;17790309000107;2;0,25;False;NULL;False;10
2;2;100;CREMOSO BARRAZA 1/2 H,;NULL;90;False;0;8;False;2;56;False;4;7790309000407;87790309000403;2,1;0,25;False;NULL;False;0
3;2;17;POR SALUT CON SAL;NULL;90;False;0;4;False;2;56;False;4;7790309000131;17790309000138;2;0,25;False;NULL;False;8
4;2;101;POR SALUT C/SAL 1/2 H;NULL;90;False;0;8;False;2;56;False;4;7790309000384;NULL;2,1;0,25;False;NULL;False;0
5;2;18;POR SALUT SIN SAL;NULL;90;False;0;4;False;2;56;False;4;7790309000162;17790309000169;2;0,25;False;NULL;False;8
6;2;102;POR SALUT S/SAL 1/2 H;NULL;90;False;0;8;False;2;56;False;4;7790309000360;NULL;2,1;0,25;False;NULL;False;0
7;2;281;POR SALUT LIGHT CON SAL ;NULL;90;False;0;4;False;2;56;False;4;7790309001022;NULL;4,2;0,25;False;NULL;False;0
8;2;282;PORT SALUT LIGHT CON SAL 1/2 HORMA;NULL;90;False;0;8;False;2;56;False;4;7790309001039;NULL;2,1;0,25;False;NULL;False;0
9;2;205;POR SALUT SIN SAL LIGHT;NULL;90;False;0;4;False;2;56;False;4;7790001001054;17790309000787;4,2;0,25;False;NULL;False;0
10;2;206;POR SALUT SIN SAL LIGHT X 1/2 HORMA;NULL;90;False;0;8;False;2;56;False;4;7790001001054;NULL;2,1;0,25;False;NULL;False;0
11;2;13;QUESO AZUL;NULL;NULL;False;0;4;False;2;50;False;4;7790309000186;NULL;NULL;NULL;False;NULL;False;0
12;3;125;CIL MUZZA BARRAZA X 500 GR;NULL;NULL;False;0;20;False;2;50;False;4;7790309000049;16790309000047;0,5;0,2;False;NULL;False;0
13;3;121;CIL MUZZA BARRAZA X 1 KG.;NULL;NULL;False;0;9;False;2;50;False;4;7790309000063;09790309000061.;1;0,23;True;NULL;False;0
14;3;90;CIL MUZZA BARRAZA X 250 GR;NULL;NULL;False;0;NULL;False;2;50;False;4;7790309000032;NULL;NULL;NULL;False;NULL;False;0
15;3;214;CIL MUZZA BARRAZA S/SAL X 0,5 KG;NULL;NULL;False;0;20;False;2;50;False;4;7790309000582;17790309000589;NULL;NULL;True;NULL;False;0
16;3;216;CIL MUZZA BARRAZA S/SAL X 1 KG;NULL;NULL;False;0;9;False;2;50;False;4;7790309000599;17790309000596;1;0,23;True;NULL;False;0
17;3;272;CIL MUZZA BARRAZA X 500 G LIGHT;NULL;NULL;False;0;20;False;2;50;False;4;7790309000940;NULL;NULL;NULL;False;NULL;False;0
18;3;273;CIL MUZZA BARRAZA X 1 KG. LIGHT;NULL;NULL;False;0;9;False;2;50;False;4;7790309000858;NULL;1;0,23;True;NULL;False;0
