idClie;itemDo;IdDoTi;Nombre;Domici;Locali;CodPos;idPrvc;Telefo;Observ;idTran;DiaEnt;idLoca;idZona;IdVend;GeoLat;GeoLon;GeoDir;GLNCod
01111;918;SUC;SUCURSAL PILAR ;RUTA PANAMERICANA MANO PILAR KM 47,5;NULL;9999;2;NULL;RUTA PANAMERICANA MANO PILAR KM 47,5 ENTRE LAS CALLES SARAVÍ Y SEGUÍ;AD;000000;0758;13B;5;NULL;NULL;NULL;
05555;197;SUC;SUC. NEUQUEN;PLANAS 4141 ESQ. EL CHOLAR;NULL;NULL;20;NULL;NULL;43;001100;0015;98A;5;NULL;NULL;NULL;
05555;199;SUC;SUC. AVELLANEDA;F. PIEVONI 318;NULL;NULL;2;NULL;NULL;AD;000000;0690;8;5;NULL;NULL;NULL;
05555;200;SUC;SUC. ITUZAINGO;ACC. OESTE COLECTORA SUR;NULL;NULL;2;NULL;NULL;AD;000000;0038;11B;5;NULL;NULL;NULL;
05555;204;SUC;SUC. BAHIA BLANCA;SARMIENTO 4114;NULL;NULL;2;NULL;NULL;43;001100;0303;98A;5;NULL;NULL;NULL;
05555;210;SUC;SUC. SAN MARTIN;AVDA GRAL PAZ 2201;NULL;NULL;2;NULL;NULL;AD;000000;0608;12 B;5;NULL;NULL;NULL;
05555;1811;SUC;SUC. PILAR;COLECT. ESTE PANAMERICANA RAMAL PILAR 48.5 KM;NULL;9999;2;NULL;NULL;AD;000000;0758;13B;5;NULL;NULL;NULL;
2401;946;ENV;WAL MART ARGENTINA SRL;D. PASSAPONTI 6501 (EX RUTA 25) ;NULL;9999;2;NULL;NULL;AD;000100;0442;11;5;NULL;NULL;NULL;
3384;1748;ENV;CD I.CASANOVA;AV. MARCONI 4481;NULL;9999;2;NULL;NULL;AD;000000;0001;10B;5;NULL;NULL;NULL;NULL
3659;1724;ENV;CD ESTEBAN ECHEVERRIA;LOS ANDES 1381;NULL;9999;2;NULL;NULL;AD;000000;0725;7;98;NULL;NULL;NULL;
3689;1978;SUC;PASO DEL REY;INTENDENTE DASTUGUE 2199;NULL;9999;2;NULL;NULL;AD;000100;0446;11C;30;NULL;NULL;NULL;NULL
3711;1846;ENV;AYACUCHO 251;AYACUCHO 251 - LATABLADA ;NULL;9999;2;NULL;NULL;AD;000000;0001;10B;30;NULL;NULL;NULL;NULL
3863;1816;ENV;LATORRE 5885 VILLA BALLESTER;LATORRE 5885 ;NULL;9999;2;NULL;NULL;AD;000000;0609;12 B;26;NULL;NULL;NULL;
3958;1880;SUC;ITUZAINGO ;AV. GAONA 6871;NULL;9999;2;NULL;NULL;AD;000000;0038;11B;5;NULL;NULL;NULL;NULL
4298;2014;ENV;NULL;SARMIENTO 2632;NULL;9999;22;2944493460;9 A11:30HRS  Y 17 A 19 HRS;023;000000;5003;98;4;NULL;NULL;NULL;NULL
