Id;ID_Articulo;ID_Usuario;ID_Establecimiento;FechaPesaje;HoraPesaje;Lote;NrodePieza;NrodeCaja;NrodePallet;FechaElaboracion;FechaVencimiento;Peso;Peso_Real;CodBarraArt_Int;CodBarraCaja_Int;CodBarraPallet_Int;upsize_ts
4;NULL;NULL;NULL;2021-08-31 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036B1
5;NULL;NULL;NULL;2021-08-31 08:15:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0x00000000000036B2
9;1;1;1;NULL;NULL;32432;1;1;1;NULL;NULL;27,37;NULL;202108312013243227,37;202108312011;20210831201;0x00000000000036B3
10;1;1;1;NULL;NULL;32432;2;1;1;NULL;NULL;27,38;NULL;202108312023243227,38;202108312011;20210831201;0x00000000000036B4
11;1;1;1;NULL;NULL;32432;3;1;1;NULL;NULL;27,38;NULL;202108312033243227,38;202108312011;20210831201;0x00000000000036B5
12;1;1;1;NULL;NULL;32432;4;1;1;NULL;NULL;13,68;NULL;202108312043243213,68;202108312011;20210831201;0x00000000000036B6
13;1;1;1;NULL;NULL;32432;5;2;1;NULL;NULL;13,68;NULL;202108312053243213,68;202108312021;20210831201;0x00000000000036B7
14;1;1;1;NULL;NULL;32432;6;2;1;NULL;NULL;13,7;NULL;202108312063243213,70;202108312021;20210831201;0x00000000000036B8
15;1;1;1;NULL;NULL;32432;7;2;1;NULL;NULL;13,7;NULL;202108312073243213,70;202108312021;20210831201;0x00000000000036B9
16;1;1;1;NULL;NULL;32432;8;2;1;NULL;NULL;13,7;NULL;202108312083243213,70;202108312021;20210831201;0x00000000000036BA
17;1;1;1;NULL;NULL;32432;9;3;1;NULL;NULL;13,68;NULL;202108312093243213,68;202108312031;20210831201;0x00000000000036BB
18;1;1;1;NULL;NULL;32432;10;3;1;NULL;NULL;13,7;NULL;2021083120103243213,70;202108312031;20210831201;0x00000000000036BC
19;1;1;1;NULL;NULL;32432;11;3;1;NULL;NULL;13,7;NULL;2021083120113243213,70;202108312031;20210831201;0x00000000000036BD
20;1;1;1;NULL;NULL;32432;12;3;1;NULL;NULL;13,7;NULL;2021083120123243213,70;202108312031;20210831201;0x00000000000036BE
21;1;1;1;NULL;NULL;32432;13;4;1;NULL;NULL;13,68;NULL;2021083120133243213,68;202108312041;20210831201;0x00000000000036BF
22;1;1;1;NULL;NULL;RR3535;1;1;1;NULL;NULL;13,7;NULL;20210831201RR353513,70;202108312011;20210831201;0x00000000000036C0
