IdTipo;NroCom;IdClie;FecCom;Refere;IdCIVA;IdDepo;IdVend;comisi;IdZona;IdTran;IdCond;BonCli;BonCom;NetoGr;NetoNG;IvaIns;IvaNoi;Descto;TotalC;Estado;UsrMov;Observ;Impres;Bultos;FecEnv;ObsEnv;ClDomi;NuRepa;NuGuia;GruCom;ResCOT;LisPre;idMone;cotdol
NP;454187;4030;2019-03-12 13:10:38.000;NULL;2;5;1;0.00;1;R;1;99.99;0.00;0.90;NULL;0.19;0.00;8999.10;1.09;P;NANDINO;NULL;NULL;NULL;2019-03-12 00:00:00.000;RTH SIN CARGO   AUT X JOSE LUIS;NULL;NULL;NULL;0;NULL;1;NULL;NULL
NP;454993;3958;2019-03-18 16:30:31.000;NULL;1;5;5;0.00;11B;AD;7;0.00;0.00;105839.51;NULL;22226.30;0.00;0.00;128065.81;P;EMASSA;NULL;NULL;NULL;2019-03-20 00:00:00.000;FC A;1880;3;NULL;0;NULL;3;NULL;NULL
NP;454994;3958;2019-03-18 16:33:19.000;NULL;1;5;5;0.00;11B;AD;7;0.00;0.00;106257.53;NULL;22314.08;0.00;0.00;128571.61;P;EMASSA;NULL;NULL;NULL;2019-03-20 00:00:00.000;RT;1880;3;NULL;0;NULL;3;NULL;NULL
NP;461798;90008;2019-05-10 16:26:49.000;NULL;3;5;11;0.00;11;R;1;0.00;0.00;1299.01;NULL;0.00;0.00;0.00;1299.01;P;EMASSA;NULL;NULL;NULL;2019-05-10 00:00:00.000;YA FUE ENTREGADO EL 22/4;NULL;NULL;NULL;0;NULL;5;NULL;NULL
NP;461980;90082;2019-05-10 12:38:57.000;NULL;3;5;11;0.00;99;R;1;0.00;0.00;585.00;NULL;0.00;0.00;0.00;585.00;P;EMASSA;NULL;NULL;NULL;2019-05-10 00:00:00.000;YA FUE ENTREGADO EL 22/4;NULL;NULL;NULL;0;NULL;5;NULL;NULL
NP;461998;90164;2019-05-10 13:16:59.000;NULL;3;5;11;0.00;1;R;1;0.00;0.00;765.00;NULL;0.00;0.00;0.00;765.00;P;EMASSA;NULL;NULL;NULL;2019-05-10 00:00:00.000;YA FUE ENTREGADO EL 22/4;NULL;NULL;NULL;0;NULL;5;NULL;NULL
NP;463108;00690;2019-05-17 13:16:29.000;NULL;1;5;1;0.00;8B;AD;1;0.00;0.00;27305.60;NULL;5734.18;0.00;0.00;33039.78;P;EMASSA;CUENTA 10;NULL;NULL;2019-05-20 00:00:00.000;FC A AGREGA A PEDIDO ANTERIOR;NULL;NULL;NULL;0;NULL;3;NULL;NULL
NP;465265;2401;2019-06-03 14:41:55.000;NULL;1;5;5;0.00;10;AD;45;0.00;0.00;241948.80;NULL;50809.25;0.00;0.00;292758.05;P;EMASSA;OC:7600082933;NULL;NULL;2019-06-06 00:00:00.000;FC A;946;NULL;NULL;0;NULL;3;NULL;NULL
NP;465887;90146;2019-06-07 12:34:19.000;NULL;3;5;11;0.00;1;R;1;0.00;0.00;413.32;NULL;0.00;0.00;0.00;413.32;P;EMASSA;NO PREPARAR YA FUE ENTREGADO EL 22/4;NULL;NULL;2019-06-07 00:00:00.000;NO PREPARAR YA FUE ENTREGADO EL 22/4;NULL;NULL;NULL;0;NULL;5;NULL;NULL
NP;478919;05555;2019-09-13 16:03:07.000;NULL;1;5;5;0.00;12 B;AD;60;0.00;0.00;595140.00;NULL;124979.40;0.00;0.00;720119.40;P;ESPECIALES ;NULL;NULL;NULL;2019-09-17 00:00:00.000;FC A;210;NULL;NULL;0;NULL;3;NULL;NULL
