IdTipo;NroCom;IdArti;FecCom;Cantid;SaldoP;Bonifi;Precio;CanUni;itemPI;PreFin;artbon
NP;454187;29;2019-03-12 00:00:00.000;45.00;45.00;0.00;200.00;9.00;1;242.00;NULL
NP;454993;08;2019-03-18 00:00:00.000;144.00;144.00;11.50;214.12;36.00;1;259.09;NULL
NP;454993;18;2019-03-18 00:00:00.000;42.00;42.00;11.50;196.81;12.00;3;238.14;NULL
NP;454993;20;2019-03-18 00:00:00.000;72.00;72.00;11.50;163.93;16.00;2;198.36;NULL
NP;454993;29;2019-03-18 00:00:00.000;210.00;210.00;11.50;185.42;42.00;5;224.36;NULL
NP;454993;30;2019-03-18 00:00:00.000;180.00;180.00;11.50;165.29;18.00;4;200.00;NULL
NP;454994;08;2019-03-18 00:00:00.000;144.00;144.00;11.50;214.12;36.00;1;259.09;NULL
NP;454994;17;2019-03-18 00:00:00.000;44.40;44.40;11.50;196.81;12.00;5;238.14;NULL
NP;454994;20;2019-03-18 00:00:00.000;72.00;72.00;11.50;163.93;16.00;2;198.36;NULL
NP;454994;29;2019-03-18 00:00:00.000;210.00;210.00;11.50;185.42;42.00;4;224.36;NULL
NP;454994;30;2019-03-18 00:00:00.000;180.00;180.00;11.50;165.29;18.00;3;200.00;NULL
NP;461798;100;2019-05-10 00:00:00.000;2.10;2.10;0.00;196.82;1.00;1;196.82;NULL
NP;461798;20;2019-05-10 00:00:00.000;4.50;4.50;0.00;196.82;1.00;2;196.82;NULL
NP;461980;03;2019-05-10 00:00:00.000;3.00;3.00;0.00;195.00;1.00;1;195.00;NULL
NP;461998;20;2019-05-10 00:00:00.000;4.50;4.50;0.00;170.00;1.00;1;170.00;NULL
NP;463108;18;2019-05-17 00:00:00.000;140.00;140.00;0.00;195.04;40.00;1;236.00;NULL
NP;465265;125;2019-06-03 00:00:00.000;930.00;930.00;0.00;260.16;1860.00;1;314.79;NULL
NP;465887;100;2019-06-07 00:00:00.000;2.10;2.10;0.00;196.82;1.00;1;196.82;NULL
NP;478919;03;2019-09-13 00:00:00.000;1485.00;1485.00;0.00;228.80;495.00;1;276.85;NULL
NP;478919;121;2019-09-13 00:00:00.000;198.00;198.00;0.00;286.00;198.00;2;346.06;NULL
NP;478919;125;2019-09-13 00:00:00.000;50.00;50.00;0.00;286.00;100.00;3;346.06;NULL
NP;478919;17;2019-09-13 00:00:00.000;148.00;148.00;0.00;210.00;40.00;6;254.10;NULL
